country,countryLabel,capitale,capitaleLabel,gps,flagimage
http://www.wikidata.org/entity/Q800,Costa Rica,http://www.wikidata.org/entity/Q3070,San José,Point(-84.0 10.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Costa%20Rica.svg
http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q1930,Ottawa,Point(-109.0 56.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Canada%20%28Pantone%29.svg
http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q1490,Tokyo,Point(136.0 35.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Japan.svg
http://www.wikidata.org/entity/Q20,Norway,http://www.wikidata.org/entity/Q585,Oslo,Point(11.0 65.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Norway.svg
http://www.wikidata.org/entity/Q27,Ireland,http://www.wikidata.org/entity/Q1761,Dublin,Point(-8.0 53.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Ireland.svg
http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q1781,Budapest,Point(19.0 47.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Hungary.svg
http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q2807,Madrid,Point(-3.5 40.2),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Spain.svg
http://www.wikidata.org/entity/Q31,Belgium,http://www.wikidata.org/entity/Q239,City of Brussels,Point(4.668055555 50.641111111),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Belgium%20%28civil%29.svg
http://www.wikidata.org/entity/Q32,Luxembourg,http://www.wikidata.org/entity/Q1842,Luxembourg,Point(6.13 49.77),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Luxembourg.svg
http://www.wikidata.org/entity/Q33,Finland,http://www.wikidata.org/entity/Q1757,Helsinki,Point(27.0 65.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Finland.svg
http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q1754,Stockholm,Point(15.0 61.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Sweden.svg
http://www.wikidata.org/entity/Q35,Denmark,http://www.wikidata.org/entity/Q1748,Copenhagen,Point(10.0 56.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Denmark.svg
http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q270,Warsaw,Point(19.0 52.0),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Poland.svg
http://www.wikidata.org/entity/Q37,Lithuania,http://www.wikidata.org/entity/Q216,Vilnius,Point(24.0 55.2),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lithuania.svg
http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q220,Rome,Point(12.5 42.5),http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Italy.svg
